wk_num,entry_num,value_size,benchmark,benchmark_option
0,1032444,1024,readrandomwriterandom,90
1,1032444,1024,readrandomwriterandom,50
2,1032444,1024,readrandomwriterandom,10
3,1032444,1024,updaterandom,
4,261124,4096,readrandomwriterandom,90
5,261124,4096,readrandomwriterandom,50
6,261124,4096,readrandomwriterandom,10
7,261124,4096,updaterandom,
8,65472,16384,readrandomwriterandom,90
9,65472,16384,readrandomwriterandom,50
10,65472,16384,readrandomwriterandom,10
11,65472,16384,updaterandom,
12,16380,65536,readrandomwriterandom,90
13,16380,65536,readrandomwriterandom,50
14,16380,65536,readrandomwriterandom,10
15,16380,65536,updaterandom,
16,130816,8192,readrandomwriterandom,70
17,130816,8192,readrandomwriterandom,30
18,130816,8192,updaterandom,
19,32752,32768,readrandomwriterandom,70
20,32752,32768,readrandomwriterandom,30
21,32752,32768,updaterandom,
